pedido_id,data_pedido,hora_pedido,cliente_id,cliente_nome,cliente_cpf,cliente_email,cliente_estado,produto_id,produto_nome,categoria,produto_preco_base,quantidade,valor_total_item,cupom_codigo,cupom_desconto_pct,valor_final_item,frete_valor,metodo_pagamento,status_pedido
10000,2025-02-17,15:05:27,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,1,"Tablet Ergonômico",Computadores,706.23,2,1412.46,VIP44,21,1115.84,36.00,Cartao Credito,Cancelado
10000,2025-02-17,15:05:27,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,1,"Tablet Ergonômico",Computadores,706.23,1,706.23,VIP44,21,557.92,35.00,Cartao Credito,Cancelado
10000,2025-02-17,15:05:27,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,1,"Tablet Ergonômico",Computadores,706.23,1,706.23,VIP44,21,557.92,35.00,Cartao Credito,Cancelado
10000,2025-02-17,15:05:27,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,1,"Tablet Ergonômico",Computadores,706.23,3,2118.69,VIP44,21,1673.77,37.00,Cartao Credito,Cancelado
10000,2025-02-17,15:05:27,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,1,"Tablet Ergonômico",Computadores,706.23,1,706.23,VIP44,21,557.92,35.00,Cartao Credito,Cancelado
10001,2025-04-18,21:38:45,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,1,"Tablet Ergonômico",Computadores,706.23,2,1412.46,,0,1412.46,36.00,Boleto,Cancelado
10001,2025-04-18,21:38:45,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,1,"Tablet Ergonômico",Computadores,706.23,3,2118.69,,0,2118.69,37.00,Boleto,Cancelado
10001,2025-04-18,21:38:45,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,1,"Tablet Ergonômico",Computadores,706.23,2,1412.46,,0,1412.46,36.00,Boleto,Cancelado
10001,2025-04-18,21:38:45,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,1,"Tablet Ergonômico",Computadores,706.23,2,1412.46,,0,1412.46,36.00,Boleto,Cancelado
10002,2025-03-13,19:11:31,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,1,"Tablet Ergonômico",Computadores,706.23,1,706.23,,0,706.23,35.00,Cartao Debito,Concluido
10002,2025-03-13,19:11:31,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,1,"Tablet Ergonômico",Computadores,706.23,1,706.23,,0,706.23,35.00,Cartao Debito,Concluido
10002,2025-03-13,19:11:31,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,1,"Tablet Ergonômico",Computadores,706.23,1,706.23,,0,706.23,35.00,Cartao Debito,Concluido
10002,2025-03-13,19:11:31,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,1,"Tablet Ergonômico",Computadores,706.23,3,2118.69,,0,2118.69,37.00,Cartao Debito,Concluido
10002,2025-03-13,19:11:31,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,1,"Tablet Ergonômico",Computadores,706.23,3,2118.69,,0,2118.69,37.00,Cartao Debito,Concluido
10003,2024-11-30,21:52:39,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,1,"Tablet Ergonômico",Computadores,706.23,1,706.23,,0,706.23,35.00,Pix,Concluido
10003,2024-11-30,21:52:39,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,1,"Tablet Ergonômico",Computadores,706.23,3,2118.69,,0,2118.69,37.00,Pix,Concluido
10003,2024-11-30,21:52:39,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,1,"Tablet Ergonômico",Computadores,706.23,3,2118.69,,0,2118.69,37.00,Pix,Concluido
10004,2024-05-29,08:53:34,2,"Laura Silva Gomes",852.766.116-53,laura.silva.gomes98@empresa.com,PR,1,"Tablet Ergonômico",Computadores,706.23,2,1412.46,,0,1412.46,37.00,Boleto,Concluido
10004,2024-05-29,08:53:34,2,"Laura Silva Gomes",852.766.116-53,laura.silva.gomes98@empresa.com,PR,1,"Tablet Ergonômico",Computadores,706.23,1,706.23,,0,706.23,36.00,Boleto,Concluido
10005,2024-03-31,09:53:06,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,1,"Tablet Ergonômico",Computadores,706.23,3,2118.69,VIP44,21,1673.77,37.00,Pix,Entregue
10005,2024-03-31,09:53:06,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,1,"Tablet Ergonômico",Computadores,706.23,2,1412.46,VIP44,21,1115.84,36.00,Pix,Entregue
10005,2024-03-31,09:53:06,1,"Alice Ferreira Souza",081.015.657-63,alice.ferreira.souza28@outlook.com,PE,1,"Tablet Ergonômico",Computadores,706.23,2,1412.46,VIP44,21,1115.84,36.00,Pix,Entregue
